"3 probability convergence, 0.6gain","3 probability convergence, 0.7gain","3 probability convergence, 0.8gain","9 probability convergence, 0.6gain","9 probability convergence, 0.7gain","9 probability convergence, 0.8gain","18 probability convergence, 0.6gain","18 probability convergence, 0.7gain","18 probability convergence, 0.8gain"
0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
0.0,0.3333333333333333,0.0,0.3333333333333333,1.0,1.0,1.0,1.0,1.0
0.25,0.0,0.5,0.5,0.75,1.0,1.0,1.0,1.0
0.0,0.2,0.6,0.6,0.8,1.0,0.8,1.0,1.0
0.0,0.5,0.3333333333333333,0.3333333333333333,0.8333333333333334,1.0,0.8333333333333334,1.0,1.0
0.0,0.0,0.2857142857142857,0.5714285714285714,0.7142857142857143,1.0,0.7142857142857143,1.0,1.0
0.25,0.375,0.375,0.25,0.75,0.875,0.75,1.0,1.0
0.0,0.3333333333333333,0.5555555555555556,0.2222222222222222,0.5555555555555556,1.0,1.0,1.0,1.0
0.1,0.2,0.5,0.4,1.0,1.0,0.9,1.0,1.0
0.0,0.2727272727272727,0.2727272727272727,0.8181818181818182,0.7272727272727273,1.0,0.7272727272727273,1.0,1.0
0.0,0.16666666666666666,0.16666666666666666,0.5,0.6666666666666666,1.0,0.75,1.0,1.0
0.15384615384615385,0.23076923076923078,0.23076923076923078,0.38461538461538464,0.9230769230769231,1.0,0.6923076923076923,1.0,1.0
0.07142857142857142,0.2857142857142857,0.35714285714285715,0.5714285714285714,0.7857142857142857,1.0,0.6428571428571429,1.0,1.0
0.06666666666666667,0.3333333333333333,0.2,0.7333333333333333,0.8,0.8666666666666667,0.9333333333333333,1.0,1.0
0.125,0.1875,0.25,0.5,0.75,0.9375,0.9375,0.9375,1.0
0.17647058823529413,0.0,0.47058823529411764,0.6470588235294118,0.8235294117647058,0.9411764705882353,0.7647058823529411,1.0,1.0
0.1111111111111111,0.05555555555555555,0.3333333333333333,0.6666666666666666,1.0,0.9444444444444444,0.8333333333333334,1.0,1.0
0.05263157894736842,0.0,0.47368421052631576,0.631578947368421,0.7368421052631579,0.9473684210526315,0.8947368421052632,1.0,1.0
0.1,0.25,0.45,0.5,0.9,1.0,0.95,1.0,1.0
0.047619047619047616,0.2857142857142857,0.42857142857142855,0.6666666666666666,0.9047619047619048,1.0,0.7142857142857143,1.0,1.0
0.045454545454545456,0.2727272727272727,0.36363636363636365,0.4090909090909091,0.7272727272727273,1.0,0.9090909090909091,0.9545454545454546,1.0
0.08695652173913043,0.17391304347826086,0.43478260869565216,0.5652173913043478,0.9130434782608695,0.9565217391304348,0.8260869565217391,1.0,1.0
0.125,0.125,0.2916666666666667,0.4166666666666667,0.9583333333333334,1.0,0.8333333333333334,1.0,1.0
0.16,0.32,0.2,0.6,0.88,1.0,0.84,1.0,1.0
0.07692307692307693,0.38461538461538464,0.2692307692307692,0.46153846153846156,0.8461538461538461,0.9615384615384616,0.9230769230769231,1.0,1.0
0.07407407407407407,0.2222222222222222,0.4444444444444444,0.6666666666666666,0.8888888888888888,1.0,0.7037037037037037,0.9629629629629629,1.0
0.03571428571428571,0.2857142857142857,0.4642857142857143,0.5357142857142857,0.8928571428571429,1.0,0.8928571428571429,1.0,1.0
0.13793103448275862,0.10344827586206896,0.4827586206896552,0.5172413793103449,0.7931034482758621,1.0,0.9310344827586207,0.9655172413793104,1.0
0.03333333333333333,0.3,0.36666666666666664,0.43333333333333335,0.8,1.0,0.6333333333333333,0.9666666666666667,1.0
0.06451612903225806,0.2903225806451613,0.4838709677419355,0.6451612903225806,0.7419354838709677,1.0,0.8064516129032258,1.0,1.0
0.15625,0.15625,0.40625,0.53125,0.78125,1.0,0.875,1.0,1.0
0.030303030303030304,0.30303030303030304,0.42424242424242425,0.5454545454545454,0.7878787878787878,1.0,0.8181818181818182,1.0,1.0
0.08823529411764706,0.17647058823529413,0.38235294117647056,0.5882352941176471,0.8235294117647058,1.0,0.8235294117647058,1.0,1.0
0.11428571428571428,0.34285714285714286,0.4,0.37142857142857144,0.9142857142857143,0.9714285714285714,0.9142857142857143,0.9714285714285714,1.0
0.05555555555555555,0.2222222222222222,0.5277777777777778,0.6111111111111112,0.8055555555555556,0.9444444444444444,0.9444444444444444,1.0,1.0
0.02702702702702703,0.24324324324324326,0.5945945945945946,0.5405405405405406,0.8918918918918919,0.918918918918919,0.7837837837837838,1.0,1.0
0.15789473684210525,0.21052631578947367,0.47368421052631576,0.5263157894736842,0.868421052631579,0.9473684210526315,0.8421052631578947,1.0,1.0
0.10256410256410256,0.1794871794871795,0.3076923076923077,0.5641025641025641,0.9230769230769231,0.9743589743589743,0.6923076923076923,1.0,1.0
0.15,0.2,0.3,0.625,0.875,0.975,0.8,1.0,1.0
0.04878048780487805,0.1951219512195122,0.5365853658536586,0.5365853658536586,0.9024390243902439,1.0,0.926829268292683,0.975609756097561,1.0
0.047619047619047616,0.14285714285714285,0.42857142857142855,0.5476190476190477,0.9047619047619048,1.0,0.8809523809523809,0.9523809523809523,1.0
0.11627906976744186,0.20930232558139536,0.3953488372093023,0.6511627906976745,0.9534883720930233,0.9767441860465116,0.7674418604651163,1.0,1.0
0.18181818181818182,0.5,0.36363636363636365,0.7045454545454546,0.8636363636363636,0.9772727272727273,0.9545454545454546,1.0,1.0
0.06666666666666667,0.3111111111111111,0.35555555555555557,0.5333333333333333,0.8888888888888888,0.9777777777777777,0.9555555555555556,0.9777777777777777,1.0
0.13043478260869565,0.32608695652173914,0.5,0.6086956521739131,0.9130434782608695,0.9782608695652174,0.8478260869565217,1.0,1.0
0.1276595744680851,0.3404255319148936,0.3829787234042553,0.5319148936170213,0.8297872340425532,0.9787234042553191,0.8085106382978723,1.0,1.0
0.14583333333333334,0.22916666666666666,0.5416666666666666,0.5416666666666666,0.875,1.0,0.7708333333333334,0.9791666666666666,1.0
0.12244897959183673,0.30612244897959184,0.46938775510204084,0.46938775510204084,0.8367346938775511,0.9387755102040817,0.8163265306122449,0.9591836734693877,1.0
0.08,0.28,0.32,0.62,0.9,0.96,0.86,0.98,1.0
0.0392156862745098,0.3333333333333333,0.39215686274509803,0.49019607843137253,0.803921568627451,0.9803921568627451,0.8627450980392157,0.9607843137254902,1.0
